UID          PID    PPID  C STIME TTY          TIME CMD
root         684       2  0 05:12 ?        00:00:00 [irq/129-mei_me]
root         722       2  0 05:12 ?        00:00:21 [irq/130-iwlwifi]
root         831       1  0 05:12 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
systemd+     832       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         835       2  0 05:12 ?        00:00:00 [kworker/R-rpcio]
root         836       2  0 05:12 ?        00:00:00 [kworker/R-xprti]
root         840       1  0 05:12 ?        00:00:00 /usr/libexec/accounts-daemon
root         841       1  0 05:12 ?        00:00:00 /usr/sbin/cron -f
message+     842       1  0 05:12 ?        00:00:03 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      846       1  0 05:12 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         854       1  0 05:12 ?        00:00:00 /usr/sbin/smartd -n
root         859       1  0 05:12 ?        00:00:02 /usr/lib/snapd/snapd
root         862       1  0 05:12 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         943       1  0 05:12 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root         952       1  0 05:12 ?        00:00:00 /usr/sbin/ModemManager
root        1053       1  0 05:12 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1074       1  0 05:12 ?        00:00:00 /usr/sbin/lightdm
root        1087    1074  2 05:12 tty7     00:01:30 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        1089       1  0 05:12 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root        1114       2  0 05:12 ?        00:00:00 [psimon]
rtkit       1162       1  0 05:12 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1241    1074  0 05:12 ?        00:00:00 lightdm --session-child 13 24
aziz        1253       1  0 05:13 ?        00:00:00 /usr/lib/systemd/systemd --user
aziz        1254    1253  0 05:13 ?        00:00:00 (sd-pam)
aziz        1269    1253  0 05:13 ?        00:00:00 /usr/bin/pipewire
aziz        1270    1253  0 05:13 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
aziz        1271    1253  0 05:13 ?        00:00:00 /usr/bin/wireplumber
aziz        1273    1253  0 05:13 ?        00:00:00 /usr/bin/pipewire-pulse
aziz        1274    1253  0 05:13 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
aziz        1275    1253  0 05:13 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
aziz        1300    1241  0 05:13 ?        00:00:00 xfce4-session
aziz        1303    1253  0 05:13 ?        00:00:00 /usr/libexec/xdg-permission-store
aziz        1358    1300  0 05:13 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
aziz        1368    1253  0 05:13 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
aziz        1375    1368  0 05:13 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
aziz        1387    1253  0 05:13 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
aziz        1399    1253  0 05:13 ?        00:00:00 /usr/bin/gpg-agent --supervised
aziz        1401    1300  0 05:13 ?        00:00:22 xfwm4 --display :0.0 --sm-client-id 2c60c6541-838f-46b3-80e1-2b06ad625af2
aziz        1405    1253  0 05:13 ?        00:00:00 /usr/libexec/gvfsd
aziz        1411    1253  0 05:13 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
aziz        1426    1300  0 05:13 ?        00:00:01 xfsettingsd --display :0.0 --sm-client-id 2cc5c2001-a1ef-423a-bbe9-492cb5c8f051
root        1431       1  0 05:13 ?        00:00:02 /usr/libexec/upowerd
aziz        1437    1300  0 05:13 ?        00:00:04 xfce4-panel --display :0.0 --sm-client-id 2f86e5b2c-8e59-4fa5-8746-a6de0c52b196
aziz        1442    1300  0 05:13 ?        00:00:03 Thunar --sm-client-id 2d08008a6-fd3a-4c4f-8972-12d647da6908 --daemon
aziz        1448    1300  0 05:13 ?        00:00:01 xfdesktop --display :0.0 --sm-client-id 2b4fee729-c61a-4830-98c5-544d663f173d
aziz        1452    1437  0 05:13 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
aziz        1456    1437  0 05:13 ?        00:00:13 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
aziz        1457    1437  0 05:13 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
aziz        1458    1437  0 05:13 ?        00:00:16 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
aziz        1459    1437  0 05:13 ?        00:00:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
aziz        1460    1437  0 05:13 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
aziz        1461    1437  0 05:13 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
aziz        1462    1437  0 05:13 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
aziz        1501    1253  0 05:13 ?        00:00:01 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
aziz        1503    1300  0 05:13 ?        00:00:39 /usr/bin/qterminal -session 28e3137ae-e89d-4924-9d5a-f5aefc884b42_1718032202_869788
aziz        1508    1300  0 05:13 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 2c3b6b031-b99d-4f65-984e-22f3e24fc5b4
aziz        1598    1300  0 05:13 ?        00:00:00 light-locker
aziz        1608    1300  0 05:13 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
aziz        1609       1  0 05:13 ?        00:00:00 xcape -e Super_L Control_L Escape
aziz        1615    1300  0 05:13 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
aziz        1620    1253  0 05:13 ?        00:00:00 /usr/libexec/dconf-service
aziz        1645    1300  0 05:13 ?        00:00:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
aziz        1648    1300  0 05:13 ?        00:00:00 xiccd
aziz        1651    1300  0 05:13 ?        00:00:00 /usr/libexec/polkit-mate-authentication-agent-1
aziz        1652    1300  0 05:13 ?        00:00:03 nm-applet
colord      1676       1  0 05:13 ?        00:00:00 /usr/libexec/colord
aziz        1740    1253  0 05:13 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1752       1  0 05:13 ?        00:00:00 /usr/libexec/udisks2/udisksd
aziz        1775    1503  0 05:13 pts/0    00:00:10 /usr/bin/zsh
aziz        1811    1253  0 05:13 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
aziz        1819    1253  0 05:13 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
aziz        1832    1253  0 05:13 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
aziz        1838    1253  0 05:13 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
aziz        1861    1405  0 05:13 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
aziz        1871    1253  0 05:13 ?        00:00:00 /usr/libexec/gvfsd-metadata
aziz        1925    1253  0 05:13 ?        00:00:00 /usr/libexec/bluetooth/obexd
root        3864       2  0 05:17 ?        00:00:00 [kworker/2:0-rcu_gp]
aziz        3897    1442  3 05:17 ?        00:02:09 /opt/google/chrome/chrome --profile-directory=Default --app-id=hnpfjngllnobngcgfapefoaidbinmjnm
aziz        3901    3897  0 05:17 ?        00:00:00 cat
aziz        3902    3897  0 05:17 ?        00:00:00 cat
